PositionTitle,PositionURI,PositionLocation,Salary_range,RateIntervalCode,AgencyContactEmail,AgencyContactPhone,JobSummary,Grade,ApplyOnlineUrl,Organization_name,Organization_dept,JobCategory,Payplans,EmploymentType,PositionOfferingType,PositionStartDate,ApplicationCloseDate
Special Agent - Cybersecurity/Technology Background,https://www.usajobs.gov:443/GetJob/ViewDetails/702223800,"Chicago, Illinois",73916.0 - 95380.0,Per Year,SAINFO@fbi.gov, N/A,"FBI Special Agents apply their professional experience and unique skill sets to their work every day. Because technology permeates every aspect of what we do, our Special Agents come from all IT backgrounds: network information, cybersecurity, computer science, digital forensics and other technical specialties. We need professionals experienced in network security, computer science and software engineering to prevent cybercrimes, data theft, ransomware and other attacks to our national security.",10,N/A,Federal Bureau of Investigation,Department of Justice,Criminal Investigation,GL,Full-time,Permanent,2023-01-25T00:00:00.0000,2024-01-24T23:59:59.9970
IT Specialist,https://www.usajobs.gov:443/GetJob/ViewDetails/699796500,"West Chicago, Illinois; Chicago, Illinois",99908.0 - 129878.0,Per Year,VHANationalRecruitmentCenter@va.gov,(844)456-5208,"We are looking for skilled technologists with experience in any of the following areas: Software Engineering, Product Management, Design & UX or Data Science & Strategy. This position can be located in either our Chief Technology, Product Engineering or Software Product Management Offices. This is not a bargaining unit position.",14,https://apply.usastaffing.gov/Application/Apply,Deputy Assistant Secretary for Information and Technology,Department of Veterans Affairs,Information Technology Management,GS,Full-time,Permanent,2023-01-13T00:00:00.0000,2023-12-29T23:59:59.9970
Public Notice for Aerospace Engineer (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/689241800,"West Chicago, Illinois; Chicago, Illinois",31083.0 - 146757.0,Per Year,9-AMC-AHF-C400@faa.gov,1 (000) 000-0000,Direct hiring authority for 0861 series is being used to fill this position.,5 - 15,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Aerospace Engineering,FG,Full-time,Permanent,2022-11-15T00:00:00.0000,2023-11-13T23:59:59.9970
Public Notice for Electronics Engineer (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/686669600,"West Chicago, Illinois; Chicago, Illinois",31083.0 - 146757.0,Per Year,9-AMC-AHF-C400@faa.gov,1 (000) 000-0000,Direct hiring authority for 0855 series is being used to fill this position.,5 - 15,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,Electronics Engineering,FG,Full-time,Permanent,2022-11-01T00:00:00.0000,2023-10-30T23:59:59.9970
Public Notice for General Engineer (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/686669900,"West Chicago, Illinois; Chicago, Illinois",31083.0 - 146757.0,Per Year,9-AMC-AHF-C400@faa.gov,1 (000) 000-0000,Direct hiring authority for 0801 series is being used to fill this position.,5 - 15,https://jobs.faa.gov/Login/Apply,Federal Aviation Administration,Department of Transportation,General Engineering,FG,Full-time,Permanent,2022-11-01T00:00:00.0000,2023-10-30T23:59:59.9970
General Engineer - Direct Hire,https://www.usajobs.gov:443/GetJob/ViewDetails/726552400,"Chicago, Illinois",46696.0 - 74250.0,Per Year,TRANSJOBS@dot.gov,000-000-0000,You will serve as a General Engineer responsible for performing assignments selected to develop your skills and provide practical engineering experience. You will assist senior engineers in performing a variety of engineering functions. Assignments are selected to broaden skills and provide practical experience for progressively more complex assignments.,09 - 07,https://jobs.monstergovt.com/dot/ros/rosDashboard.hms?O=2&J=89031,Department of Transportation - Agency Wide,Department of Transportation,General Engineering,GS,Multiple Schedules,Multiple Appointment Types,2023-05-17T18:41:48.3670,2023-11-17T23:59:59.9970
General Engineer 12 Month Roster Direct Hire,https://www.usajobs.gov:443/GetJob/ViewDetails/704758400,"Chicago, Illinois",98496.0 - 183500.0,Per Year,hco.mphs.apply.ext@irs.gov, N/A,"Positions under this announcement are being filled using a Direct Hire Authority (DHA) and Recruitment Incentive is authorized for eligible, highly-qualified applicants. For information on the Recruitment Incentive please reference the Additional Information section. #LI-POST Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov",13 - 14,https://apply.usastaffing.gov/Application/Apply,Internal Revenue Service,Department of the Treasury,General Engineering,GS,Full-time,Permanent,2023-02-06T00:00:00.0000,2023-10-10T23:59:59.9970
Survey Technician,https://www.usajobs.gov:443/GetJob/ViewDetails/737511500,"Chicago, Illinois",64251.0 - 101055.0,Per Year, N/A, N/A,"This is a Direct Hire Authority (DHA) solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service. Applications will be accepted through 1/18/24. Announcement MAY CLOSE EARLIER if all available vacancies have been filled prior to 1/18/24. The 1st Cut-Off for receipt & referral of applicants to be considered for vacant positions will be 8/14/23. Afterward, referrals will be pulled as vacancies occur.",9 - 11,https://apply.usastaffing.gov/Application/Apply,U.S. Army Corps of Engineers,Department of the Army,Survey Technical,GS,Full-time,Permanent,2023-07-18T00:00:00.0000,2024-01-18T23:59:59.9970
Civil Engineer,https://www.usajobs.gov:443/GetJob/ViewDetails/723849300,"Chicago, Illinois",92928.0 - 118499.0,Per Year,gphireme@usbr.gov,406-247-7696,Reclamation is seeking a career professional looking for an opportunity to capitalize on their expertise as a Civil Engineer. Make a difference in the West by assisting in meeting increasing water demands while protecting the environment. The final determination of the duty station for this position will be made by the selecting official at the time of the job offer. Flexibilities to work remotely in a virtual posture may be considered. https://www.usbr.gov/gp/employment/living_conditions.pdf,12 - 11,https://apply.usastaffing.gov/Application/Apply,Bureau of Reclamation,Department of the Interior,Civil Engineering,GS,Full-time,Permanent,2023-05-03T00:00:00.0000,2023-12-04T23:59:59.9970
Technical Assistant (Field Special Technical Assistant) (12-Month Register),https://www.usajobs.gov:443/GetJob/ViewDetails/729542600,"Chicago, Illinois",42022.0 - 67589.0,Per Year,*HCOIRShiringextapp@irs.gov, N/A,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov",6,https://apply.usastaffing.gov/Application/Apply,Internal Revenue Service,Department of the Treasury,Miscellaneous Clerk And Assistant,GS,Full-time,Permanent,2023-06-02T00:00:00.0000,2024-05-31T23:59:59.9970
